"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"848876769541148673","","","2017-04-03 12:36:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ドレインファブニルとフリー・デラホーヤ #ベイブレードバースト https://t.co/fS3s9WXRd4","","","","https://twitter.com/vocarevoproj/status/848876769541148673/photo/1,https://twitter.com/vocarevoproj/status/848876769541148673/photo/1,https://twitter.com/vocarevoproj/status/848876769541148673/photo/1"
"848865523639042048","","","2017-04-03 11:51:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ドレインファブニルはスタミナタイプですね
https://t.co/RPTYChBrnC #ベイブレードバースト #ドレインファブニル  #フリー・デラホーヤ https://t.co/ZTwBJA2CE1","","","","http://www.beyblade.jp/img/anime/chara/ch04_blade.png,https://twitter.com/vocarevoproj/status/848865523639042048/photo/1"
"840498703265755136","","","2017-03-11 09:44:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/jOSZiKpOCJ
レジェンドスプリガンじゃない…　クライスサタンだ！　ゴッドヴァルキリー　ブレイズラグナルク　ドレインファブニル
#ベイブレードバースト　#ベイブレード　#新ヴァルキリー　#新ラグナルク　#サタン","","","","http://ameblo.jp/egnat/entry-12255431764.html"
"840258112489574400","","","2017-03-10 17:48:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","これはダークネスドライガー…　#ベイブレードバースト　#ベイブレード　#ドライガー https://t.co/mB7psxLMh7","","","","https://twitter.com/ar_urara052/status/840250623366905857"
"839906370170187776","","","2017-03-09 18:30:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","コロコロアニキ 全員サービス 「ダークネスドライガー」バーストver？
https://t.co/JnHrZtuyiH … 
#ベイブレードバースト　#ベイブレード　#ドライガー https://t.co/EImdtTSD05","","","","http://www.neowing.co.jp/product/NEOBK-2069904,https://twitter.com/vocarevoproj/status/839906370170187776/photo/1"
"836462971937173505","836334434898980869","835742512685830144","2017-02-28 06:28:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@godgod205 @GuySuzuk 
商標速報をご参照ください
ジーザススプリガンは噂です","","","",""
"836269258187288576","","","2017-02-27 17:38:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ゴッドヴァルキリー　レジェンドスプリガン　ブレイズラグナルク
#ベイブレードバースト　#ベイブレード
#新ヴァルキリー  #新スプリガン  #新ラグナルク https://t.co/DSspAGdhk5","","","","https://twitter.com/vocarevoproj/status/836269258187288576/photo/1,https://twitter.com/vocarevoproj/status/836269258187288576/photo/1,https://twitter.com/vocarevoproj/status/836269258187288576/photo/1"
"775067328010604544","","","2016-09-11 20:23:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ランダムブースター４　クアッドケツアルカトル・？・？ &amp; ドライガーS・H・F
#ベイブレード　#ベイブレードバースト https://t.co/8ek1LCLo2K","","","","https://twitter.com/vocarevoproj/status/775067328010604544/photo/1,https://twitter.com/vocarevoproj/status/775067328010604544/photo/1,https://twitter.com/vocarevoproj/status/775067328010604544/photo/1,https://twitter.com/vocarevoproj/status/775067328010604544/photo/1"
"773513715501019137","","","2016-09-07 13:30:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","デュアルサイクロンベイスタジアム
ファングフェンリル・ブースト・ジャギー：確認された 
6000円が…
https://t.co/dG8mvAbWjz
#ベイブレードバースト　#ベイブレード","","","","https://www.youtube.com/watch?v=ftnkNqkM8C8"
"767226740427018240","","","2016-08-21 05:08:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","「B-62 デュアルサイクロンスタジアムDXセット」
付属の新ベイ！
レイヤーの名前は不明、でもディスクとドライバーが……😱😱😓😢😩

詳細：https://t.co/dG8mvAbWjz

#ベイブレードバースト　#ベイブレード https://t.co/4oKfVv5GD9","","","","https://www.youtube.com/watch?v=ftnkNqkM8C8,https://twitter.com/vocarevoproj/status/767226740427018240/photo/1"
"767226332379910144","","","2016-08-21 05:06:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","10月発売「B-62 デュアルサイクロンスタジアムDXセット」
付属の新ベイの謎〜〜解き！
レイヤーの名前は不明、でもディスクとドライバーが……😱😱😓😢😩

https://t.co/dG8mvAbWjz

#ベイブレードバースト　#ベイブレード","","","","https://www.youtube.com/watch?v=ftnkNqkM8C8"
"767024513141776386","","","2016-08-20 15:44:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","デュアルサイクロンベイスタジアムでベイバトル
こちら：https://t.co/FsWLK3a7Xo

#ベイブレードバースト　#ベイブレード","","","","https://www.youtube.com/watch?v=b8wz7c5SkeU"
"766989304987910144","","","2016-08-20 13:24:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","デュアルサイクロンスタジアム  デモ
#ベイブレードバースト　#ベイブレード https://t.co/LVf1E63sN9","","","","https://twitter.com/vocarevoproj/status/766989304987910144/video/1"
"766959745278222336","","","2016-08-20 11:27:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B-62 デュアルサイクロンスタジアムDXセット付属の新ベイブレード？
#ベイブレードバースト　#ベイブレード https://t.co/sq8Xwqox0f","","","","https://twitter.com/vocarevoproj/status/766959745278222336/photo/1"
"766916997879738368","","","2016-08-20 08:37:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","デュアルサイクロンスタジアムのベイ？
#ベイブレードバースト　#ベイブレード https://t.co/IMcX6tgLRQ","","","","https://twitter.com/vocarevoproj/status/766916997879738368/photo/1"
"766676050092765185","","","2016-08-19 16:39:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","B-62 デュアルサイクロンスタジアム DXセット
青色のベイ…新しいベイ？
#ベイブレードバースト　#ベイブレード https://t.co/NDDwSFzE9k","","","","https://twitter.com/vocarevoproj/status/766676050092765185/photo/1"
"765618743254802437","","","2016-08-16 18:38:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ベイブレードバースト
各パーツ重量
こちら：https://t.co/tYIw8E0RtD
#ベイブレードバースト 　#ベイブレード https://t.co/S7MrUQv2zD","","","","http://vocarevoproject.com/whatisthis/beyblade/,https://twitter.com/vocarevoproj/status/765618743254802437/photo/1"
"764411400408006656","","","2016-08-13 10:40:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ベイバ　未来の新レイヤー？
出典：
https://t.co/ZOV5JQvpDT …　（米国ベイブレードバースト商標）

全パーツカタログ：
https://t.co/tYIw8E0RtD

#ベイブレードバースト #ベイブレード https://t.co/CIYkSjDcBq","","","","https://trademarks.justia.com/owners/tomy-company-ltd-125851/page5,http://vocarevoproject.com/whatisthis/beyblade/,https://twitter.com/vocarevoproj/status/764411400408006656/photo/1,https://twitter.com/vocarevoproj/status/764411400408006656/photo/1"
"763974111559168000","","","2016-08-12 05:43:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ベイブレードバースト　パーツと景品のカタログ　一覧
https://t.co/tYIw8E0RtD
#ベイブレード #ベイブレードバースト https://t.co/tlL8FS8ank","","","","http://vocarevoproject.com/whatisthis/beyblade/,https://twitter.com/vocarevoproj/status/763974111559168000/photo/1,https://twitter.com/vocarevoproj/status/763974111559168000/photo/1"
